ІНСТРУКЦІЯ: відмітьте кожен доступ. Якщо систем/ринків кілька (напр. кілька GA4-потоків, кілька рекламних кабінетів, кілька маркетплейс-акаунтів) — додайте окремий рядок на кожен.
Доступ / система,Ринок / акаунт,Є (так/ні),Роль / рівень,Хто видає,Коментар
GA4 — потік UA,UA,,,,
GA4 — потік EU,EU,,,,
Google Search Console,—,,,,
Google Ads,—,,,,
Meta Ads (Facebook/Instagram),—,,,,
TikTok / інші Ads,—,,,,
CRM (експорт клієнтів/замовлень),—,,,,
ERP / облік (вивантаження),—,,,,
CMS / адмінка — сайт UA,UA,,,,
CMS / адмінка — сайт EU,EU,,,,
Amazon Seller Central,DE/US,,,,
Allegro / інші маркетплейси,PL/EU,,,,
Платіжна аналітика (Stripe/еквайринг),—,,,,
Email/CRM-платформа (розсилки),—,,,,
